Post_Content,Requirement_Category,Poster_Name,Poster_Designation,Poster_Company,Post_URL,Collection_Timestamp
"Discover how our Asian Beetle machine is already helping alleviate un-recyclable plastic pollution alongside our partners Practical Action in Bangladesh, ...",A-Plastic Waste,Jeffrey Barbee's Post,,,https://www.linkedin.com/posts/jeffrey-barbee-64064954_check-out-what-our-beetle-is-doing-in-bangladesh-activity-7241792661815226368-YZ0v,2024-11-23 23:43:24
This is part of our wider partnership with The Ocean Cleanup launched in 2021 to help prevent plastic waste (https://bit.ly/3xcK2vT). No alternative text ...,A-Plastic Waste,The Coca-Cola Company's Post,,,https://www.linkedin.com/posts/the-coca-cola-company_a-milestone-moment-in-thailand-as-the-ocean-activity-7178330800814231552-wPLe,2024-11-23 23:43:24
Electrochemistry: A Promising New Approach to Plastic Waste Recycling A review in Chemical Science highlights the potential of electrochemistry as an ...,A-Plastic Waste,GREENINTERNATIONAL WORLDLTD posted on the topic ...,,,https://www.linkedin.com/posts/greeninternational-worldltd_electrochemistry-a-promising-new-approach-activity-7241817878184792066-kClO,2024-11-23 23:43:24
"Glimpses of NCR Activity in July: The Importance of Plastic Recycling Today In July, our initiative reached a remarkable milestone in the NCR #region…",A-Plastic Waste,Indian Centre for Plastics in the Environment's Post,,,https://www.linkedin.com/posts/indian-centre-for-plastics-in-the-environment_region-schools-importance-activity-7222493355815890945-L53a,2024-11-23 23:43:24
"Plastic waste recycling firm Corsair has signed an agreement to supply Shell Chemicals Europe BV with pyrolysis oil, a mixed plastic waste feedstock.",A-Plastic Waste,Corsair Group International's Post,,,https://www.linkedin.com/posts/corsairgroup_corsair-corsairgroup-csr-activity-7237817740609126401-2Sel,2024-11-23 23:43:24
"This alarming trend not only destroys the natural habitats of countless species but also contributes to climate change, soil erosion, and the disruption of ...",G-Other Hazardous Waste,EFS-plastics Inc.'s Post,,,https://www.linkedin.com/posts/efs-plastics_wearepcr-postconsumerrecycledresin-pcr-activity-7186415628059054080-ed75,2024-11-23 23:43:24
We have all seen the images of the great pacific plastic garbage patch (the size of Texas) floating in the Pacific... But have you ever wondered how much…,A-Plastic Waste,Chris Bradley,How much plastic is on the ocean floor?,,https://www.linkedin.com/posts/chrismbradley_reuse-oceanboundplastic-sustainablepackaging-activity-7202393867524993024-HAsg,2024-11-23 23:43:24
"""Some 11 million metric tons of plastic enter our oceans each year—that's equivalent to at least one dump truck per minute.",A-Plastic Waste,"Seth Larson on LinkedIn: This Earth Day, Plastic Pollution ...",,,https://www.linkedin.com/posts/seth-larson-1a520376_this-earth-day-plastic-pollution-is-among-activity-7188521787440123906-m1K6,2024-11-23 23:43:24
The mission of PLEXPOINDIA is clear: to propel transformative growth within the plastics industry. We achieve this by fostering a dynamic environment that ...,A-Plastic Waste,Anish Patel,Bringing Growth to Plastics Industry…,,https://www.linkedin.com/posts/anishypatel_bringing-growth-to-plastics-industry-activity-7211562248274665472-Cdhr,2024-11-23 23:43:24
The plastics lifecycle is projected to account for 5% of global GHG emissions by 2040. Plastic pollution and climate change are closely linked. What can…,A-Plastic Waste,Alexander Ayertey Odonkor's Post,plastics,,https://www.linkedin.com/posts/alexander-ayertey-odonkor-6a1586122_plastics-activity-7250568538313101312-kyIo,2024-11-23 23:43:24
Plastics Recycling Show Europe 2024 stand A13.,A-Plastic Waste,CALDARA PLAST S.R.L. on LinkedIn: Plastics Recycling ...,,,https://www.linkedin.com/posts/caldaraplast_plastics-recycling-show-europe-2024-stand-activity-7209216587088748545-jNJ1,2024-11-23 23:43:24
"This July, we challenge you to join us in reducing plastic waste. Whether it's carrying a reusable water bottle or coffee cup, not forgetting your reusable ...",A-Plastic Waste,Spring Fibre's Post,,,https://www.linkedin.com/posts/spring-fibre_plasticfreejuly-sustainability-plasticfreejuly-activity-7214236717208240128-_OxI,2024-11-23 23:43:24
Using recycled materials means less demand for finite resources. But how does this process work?​ Post-consumer plastic waste is taken to an advanced…,A-Plastic Waste,Tetra Pak's Post,,,https://www.linkedin.com/posts/tetra-pak_using-recycled-materials-means-less-demand-activity-7212001883136135169-xago,2024-11-23 23:43:24
NREL: The (in)visible plastic pollution problem https://lnkd.in/gdwwK6ac #UCRscience #plastic #plasticwaste #pollution #environment #ucr #ucriverside.,A-Plastic Waste,College of Natural & Agricultural Sciences (CNAS)'s Post,,,https://www.linkedin.com/posts/ucrcnas_nrel-the-invisible-plastic-pollution-problem-activity-7247651647387041793-dRiK,2024-11-23 23:43:25
Device reuse will be an important factor in mitigating the hazardous effects of e-waste on the environment and human health.,B-E-waste,"Onepak, Inc posted on the topic",,,https://www.linkedin.com/posts/onepak_addressing-the-e-waste-crisis-embrace-device-activity-7226717673382891520-FY4M,2024-11-23 23:43:29
"Encouraging e-waste recycling, advocating for longer-lasting products, and supporting proper e-waste management policies are steps we can take to make an ...",B-E-waste,How to fight e-waste and save the planet,,,https://www.linkedin.com/posts/isildurmus_ewaste-digitally-lead-activity-7158086233892499457-pSOc,2024-11-23 23:43:29
"Honored to host the Stakeholders Workshop on E-Waste Management at IIT Indore with the Madhya Pradesh Pollution Control Board (MPPCB) on November 7, 2024.",B-E-waste,Dr. Ashootosh Mandpe's Post,,,https://www.linkedin.com/posts/dr-ashootosh-mandpe-8b333893_sustainability-ewastemanagement-iitindore-activity-7261303327634718721-AGJ9,2024-11-23 23:43:29
CA Finalist || Environmentalist || Passionate about Waste Management || First Person to have started Plastic Waste Management in Satara ||Have collected and ...,A-Plastic Waste,Omkar Ganu's Post,,,https://www.linkedin.com/posts/omkar-ganu_ewastemanagement-sustainability-education-activity-7215917095371350016-8pN4,2024-11-23 23:43:29
Today is International E-Waste Day | October 14 Did you know that only 22.3% of global e-waste is recycled? That leaves millions of tonnes of electronic…,B-E-waste,ERANPC 's Post,,,https://www.linkedin.com/posts/eranpc_internationalewasteday-reducereuserecycle-activity-7251496534440067072-MEj_,2024-11-23 23:43:29
The P&L still drives bad behavior and poor decision making on electronic disposal in many of these countries. Lucrative recycle of E-waste still has a high cost ...,B-E-waste,The Surprisingly Lucrative Business of Recycled E-Waste,,,https://www.linkedin.com/posts/kylemarks_the-surprisingly-lucrative-business-of-recycled-activity-7254114716640296961-jYiN,2024-11-23 23:43:29
With 40 million tons of e-waste generated annually—about 800 laptops every second—it now accounts for 70% of toxic waste while impacting IT budgets and ...,B-E-waste,Pure Storage's Post,,,https://www.linkedin.com/posts/purestorage_data-datastorage-purestorage-activity-7244725860652515328-QYi3,2024-11-23 23:43:29
Radhika Kalia's Post · Revolutionizing E-Waste Management: RLG Systems India's Vision and Strategies for 2024 · More Relevant Posts · Women in Sustainable Waste ...,B-E-waste,Radhika Kalia,Revolutionizing E-Waste Management,,https://www.linkedin.com/posts/radhikakalia_revolutionizing-e-waste-management-rlg-systems-activity-7157702532289466368-Eoor,2024-11-23 23:43:29
"Governments play a crucial role in implementing and enforcing robust e-waste regulations, promoting sustainable practices, and investing in proper waste ...",B-E-waste,Donnerberg on LinkedIn: E-waste management in Germany,,,https://www.linkedin.com/posts/donnerberg_e-waste-management-in-germany-all-you-need-activity-7161008752765087744-52mw,2024-11-23 23:43:29
"Keep e-waste out of landfills by recycling your old electronics with Zolopik. Together, we can reduce pollution and conserve valuable resources.",B-E-waste,Zolopik E-Waste Recycling's Post,,,https://www.linkedin.com/posts/zolopik_ewasterecycling-gogreen-zolopik-activity-7219189362746433536-tmJG,2024-11-23 23:43:29
They must seek help from expert e-waste management companies like Escrappy E-Waste. We will manage the organization's e-waste after the discussion with the ...,B-E-waste,NPEWaste Private Limited's Post,,,https://www.linkedin.com/posts/npe-waste_ewasterecycling-sustainabilityintech-circulareconomy-activity-7164121830897692672-h3bj,2024-11-23 23:43:29
"No Matter how small, Recycle it all. The biggest part of ewaste is small electronics. They make up 38% of all e-waste and account for over 1.5 million tons…",B-E-waste,E Tech E Waste Recycling posted on the topic,,,https://www.linkedin.com/posts/e-tech-e-waste-recycling_sustainableliving-greenliving-recycleewaste-activity-7150297637378740224-_hPv,2024-11-23 23:43:29
Why E-Waste Management Matters: Environmental Impact: E-waste contains ... #GenerationGreen #EWasteManagement #Sustainability #ReduceReuseRecycle.,B-E-waste,"Eco Voice Q & A: Anthony Karam, Founder and CEO of Sircel",,,https://www.linkedin.com/posts/sircel-limited_eco-voice-q-a-anthony-karam-founder-and-activity-7186568125809602561-7qt7,2024-11-23 23:43:29
"Comprehensive Impact Analysis of Authorized E-Waste Recycling: Environmental, Economic, and Social Perspectives: *Environmental Protection: 1. Every year…",B-E-waste,Niraj Hattangdi's Post,,,https://www.linkedin.com/posts/niraj-hattangdi-a025991ba_ewaste-electronicwaste-recycleelectronics-activity-7193403481888612353-u2Lq,2024-11-23 23:43:29
"Praveen Bhargava's Post. View profile for Praveen Bhargava, graphic. Praveen Bhargava. E-Waste Management Professional and Environmental Consultant.",G-Other Hazardous Waste,Praveen Bhargava's Post,,,https://www.linkedin.com/posts/praveen-bhargava-830287213_the-state-wise-e-waste-recycling-gap-can-activity-7240737265704955907-a4x9,2024-11-23 23:43:29
"Before the Labor Day break, the FTKIP research team with an interest in e-waste ... #EwasteManagement #ResearchTeam #FTKIP #JaringMetalIndustries #Sustainability ...",B-E-waste,Al Amin bin Mohamed Sultan,,,https://www.linkedin.com/posts/al-amin-bin-mohamed-sultan-284430a6_ewastemanagement-researchteam-ftkip-activity-7201062126025650176-BvBV,2024-11-23 23:43:29
"Furthermore, its adaptability to diverse battery types enhances its versatility in addressing battery recycling challenges. #circulareconomy #ewastemanagement # ...",E-Battery Waste,New process for recycling Li-ion batteries,,,https://www.linkedin.com/posts/nayaka-g-p-8a23732b_circulareconomy-ewastemanagement-battery-activity-7198739448195362816-Scqz,2024-11-23 23:43:29
... ewastemanagement #ewastedisposal #globalwarming #3Rs #wastemanagementinpakistan #reducereuserecycle #ecwmpl #aarishtalks https://lnkd.in/dUcuzbDB. Hazardous ...,G-Other Hazardous Waste,U. S. Waste Industries Inc. posted on the topic,,,https://www.linkedin.com/posts/u-s-waste-industries_uswaste-wastedisposal-recycling-activity-7173333708593184768-snxf,2024-11-23 23:43:30
"With 2 million tonnes of e-waste generated annually in India, the call for sustainability has never been louder ... #EwasteManagement #SustainableFuture # ...",B-E-waste,Endeavor Recyclers India's Post,,,https://www.linkedin.com/posts/endeavor-recyclers-india_sustainableenergy-reuserecycle-passionateteam-activity-7181548574927675392-RNSi,2024-11-23 23:43:30
Contact sales@lifecycle.plus #EwasteManagement #SustainableBusiness #GreenTechnology #CircularEconomy #ResponsibleRecycling #ITAssetManagement #EwasteSolution # ...,B-E-waste,Jason McNeil's Post,,,https://www.linkedin.com/posts/jason-mcneil-81796527_today-marks-my-last-day-of-a-28-year-journey-activity-7212809599110832128-ZRr9,2024-11-23 23:43:30
... ewaste #recycling #oldelectronics #sustainablefuture #healthierworld #electronicwaste #ewastemanagement #india. Recyling E-Waste. Like Comment. Share. Copy,B-E-waste,E Tech E Waste Recycling posted on the topic,,,https://www.linkedin.com/posts/e-tech-e-waste-recycling_greentomorrow-sustainableliving-reducereuserecycle-activity-7163906250047520768-M9zv,2024-11-23 23:43:30
... e-waste recycling. 3️⃣ Landfill Savior ... #recycleewaste #sustainableliving #greenmovement #etechewasterecycling #ewaste #ewastemanagement.,B-E-waste,E Tech E Waste Recycling's Post,,,https://www.linkedin.com/posts/e-tech-e-waste-recycling_recycleewaste-sustainableliving-greenmovement-activity-7148508342313824256-dVUF,2024-11-23 23:43:30
"By acting together, we can diminish e-waste ... #SustainableIndia #EwasteAwareness #RecycleReuseDonate #Techazar #Ewasterecycling #Ewastemanagement.",B-E-waste,Techazar E Cyclers Pvt Ltd's Post,,,https://www.linkedin.com/posts/tech-azar-e-cyclers-pvt-ltd_sustainableindia-ewasteawareness-recyclereusedonate-activity-7193591313995345920-qPVA,2024-11-23 23:43:30
Electronic Recycling | R2 RIOS NAID Certified | EWASTE+. https://ewaste.com. 4.,B-E-waste,Robert Scott's Post,,,https://www.linkedin.com/posts/robertscott_ecofrendly-cleaning-toucaneco-activity-7255576470406721536-UI-d,2024-11-23 23:43:30
... ewastemanagement #recyclingtechnology #recyclinginternational ... ElektroRecykling S.A./Ewaste PRO. /President of Polish Waste and Recycling Cluster.,B-E-waste,Leon Mishnaevsky Jr.'s Post,,,https://www.linkedin.com/posts/mishn_international-conference-on-sustainable-wind-activity-7242434197791879168-Uzqt,2024-11-23 23:43:30
"... e-waste collection, storage and/or reuse including e-waste ... #ewastemanagement #ewasterecycling #circulareconomy #governmentgrants #grantfunding ...",B-E-waste,SLR Consulting's Post,,,https://www.linkedin.com/posts/slr-consulting_makingsustainabilityhappen-efw-energyfromwaste-activity-7250429323050893312-C7Ah,2024-11-23 23:43:30
Always dispose of your e-waste at certified recycling ... #EWasteManagement #CircularEconomy #GreenActionWeek2024 #SharingCommunity Consumers International.,B-E-waste,How rPET Plastic benefits from landfill waste reduction,,,https://www.linkedin.com/posts/onur-b-800a6024b_the-environmental-benefits-of-rpet-plastic-activity-7203740258910269441-ZHxs,2024-11-23 23:43:30
"... E-waste in India"" has been accepted for presentation at the 15th ICCCNT 2024 ... #Research #Innovation #EwasteManagement #ICCCNT2024 #IITMandi #IIT ...",B-E-waste,Kunal Achintya Reddy posted on the topic,,,https://www.linkedin.com/posts/kunalachintyareddy_research-innovation-ewastemanagement-activity-7207364864887967744-orVZ,2024-11-23 23:43:30
#ewaste #ewastemanagement #ewasterecycling #electronics #electronicwaste #recycleright #recycling #CRR #sustainability. No alternative text description for ...,B-E-waste,LOGSTOR District Heating Solutions' Post,,,https://www.linkedin.com/posts/logstor_logstor-sustainability-recase-activity-7201523255810121728-OJab,2024-11-23 23:43:30
#solarwaste #solarrecycling #lithiunionbattery #lithiunionbatteryrecycling #ewastemanagement #ewastehandling #ewaste #sustainablesolutions #sustainability # ...,B-E-waste,Regain Energies Solutions Private Limited's Post,,,https://www.linkedin.com/posts/regain-energies-solutions-private-limited_activity-7190976000325795840-wL-t,2024-11-23 23:43:30
... ewaste #ewastedisposal #ewastemanagement #sustainability #sustainabilityvlogger #aarishtalks #ecwmpl. Play Video. Video Player is loading. Loaded: 0%. Play,B-E-waste,Go Plant Fleet Services Ltd's Post,,,https://www.linkedin.com/posts/go-plant-fleet-services-ltd_goplant-compliantwastedisposal-sustainability-activity-7166007227533746177-xEZ0,2024-11-23 23:43:30
"Got E-waste? Leave it to us! At Endeavor Recyclers, we're all about ... ewastemanagement #sustainablefuture #makeadifference. No alternative text ...",B-E-waste,Vital Records Control (VRC)'s Post,,,https://www.linkedin.com/posts/vital-records-control-llc_facilityfriday-shreddingforsustainability-activity-7189609458224766977-dckb,2024-11-23 23:43:30
"... E-waste Recycling Plant. This wonderful initiative was led by Panasonic, the ... ewastemanagement #sustainability #highered #recycling ...",B-E-waste,Ecoverva Plant Visit: A Sustainable Odyssey ...,,,https://www.linkedin.com/posts/ecoverva_ecoverva-plant-visit-a-sustainable-odyssey-activity-7173970070463864832-9Zq3,2024-11-23 23:43:30
Pre-processing now mandatory for Hazardous Waste disposal through co-processing at CHWTSDFs. Guidelines provided for Haz & Other waste management in cement ...,G-Other Hazardous Waste,ADR 2025: Key Updates for Asbestos Waste Transport,,,https://www.linkedin.com/posts/stephen-forster-75033015_adr-2025-key-updates-for-asbestos-waste-activity-7242417641083093017-P38E,2024-11-23 23:43:46
"E-waste, or electronic waste, is a growing problem impacting our environment ... ewastemanagement #fumigation #pitcleaning #septictankcleaning ...",B-E-waste,CSG Managing Waste's Post,,,https://www.linkedin.com/posts/csg-managing-waste_sevenoaks-waste-wastetransferstation-activity-7242865119620136960-_qu3,2024-11-23 23:43:31
... e-waste and #lithiumbattery #recycling. They got ... #recyclekaro #sustainabilityeduction #sustainabilityawareness #ewasterecycling #ewastemanagement ...,B-E-waste,Ravishankar Gundlapalli PhD's Post,,,https://www.linkedin.com/posts/ravishankargundlapalli_thank-you-navi-radjou-%E0%AE%A8%E0%AE%B5-%E0%AE%B0%E0%AE%9C-for-your-kind-activity-7194565648679673856-PJV2,2024-11-23 23:43:31
... EWasteManagement #PolicyMatters · Solar Power Key To Energy Transition ...,E-Battery Waste,The biggest project in history begins: 52 billion solar ...,,,https://www.linkedin.com/posts/staten-solar_the-biggest-project-in-history-begins-52-activity-7239607369934979072-fbc2,2024-11-23 23:43:31
... https://lnkd.in/ezcTcC4j #ewasterecycling #ewastemanagement #sustainability #battery · About. https://grinnerproject.eu · 42 · Like Comment. Share. Copy,E-Battery Waste,Borealis on LinkedIn: Tackling the ELV Regulation – Webinar,,,https://www.linkedin.com/posts/borealis_tackling-the-elv-regulation-webinar-registration-activity-7236705623415906305-55xU,2024-11-23 23:43:31
"Whether it's through recycling e-waste, reducing our carbon footprint, or ... #EWaste #EWasteManagement #ReduceReuseRecycle #GoGreen #SustainableFuture.",B-E-waste,Gravita India Limited's Post,,,https://www.linkedin.com/posts/gravita-india-limited_sustainability-environment-sustainableliving-activity-7235157265517789184-pZj_,2024-11-23 23:43:31
Day 2 at the First Tajik E-Waste Forum: practical tools for #eWaste management. ... #DushanbeEwasteForum #CircularEconomy #eWasteManagement. No alternative text ...,B-E-waste,evoro's Post,,,https://www.linkedin.com/posts/evoro_emergencyresponse-environmentalsafety-activity-7186536416842002432-OLKN,2024-11-23 23:43:31
... e-waste contains valuable materials that can be recovered and reused. ♻️ ... ewastemanagement #ewaste #environmentalsustainability #electronics ...,B-E-waste,Aptronix India's Post,,,https://www.linkedin.com/posts/aptronixindia_aptronix-apple-appleindia-activity-7154017697431732225-3TnF,2024-11-23 23:43:31
... ewastemanagement #energyconservation #energyefficiency #pvsyst #renewableenergytraining. No alternative text description for this image. 24 · Like Comment.,G-Other Hazardous Waste,Environment Protection Training and Research Institute ...,,,https://www.linkedin.com/posts/eptri-india_solarpowerplant-solarwaterheater-solarwaterpump-activity-7216398859562831873-l24k,2024-11-23 23:43:31
"Digital Marketer. 10mo. Report this post; Close menu. Global #Ewastemanagement Market Size, Trends & Growth Opportunity The Global #ewastemanagement Market was ...",E-Battery Waste,Sharon McGuinness,echa #batteriesregulation,,https://www.linkedin.com/posts/dr-sharon-mcguinness_echa-batteriesregulation-activity-7256692692804358144-kh3u,2024-11-23 23:43:31
... #metalrecycling #PaperRecycling #paperrecycling #ewastemanagement. No alternative text description for this image. 1 · Like Comment. Share. Copy; LinkedIn,A-Plastic Waste,MYGroup on LinkedIn: #foodwaste #food #simplerrecycling ...,,,https://www.linkedin.com/posts/mygrouprecycles_foodwaste-food-simplerrecycling-activity-7241422888317169664-ZlJO,2024-11-23 23:43:31
"Bridging the #greenskills gap is a major climate solution and economic opportunity. This week, Environmental Defense Fund and AshokaX have partnered to ...",B-E-waste,EDF + Business posted on the topic,,,https://www.linkedin.com/posts/edfbusiness_ashoka-university-and-environmental-defense-activity-7226983331156910081-kldE,2024-11-23 23:43:31
... E-waste. While experts are working to make these devices more environmentally ... EwasteManagement #Orbitronics #SustainableTech #IRMEmployee Iron Mountain ...,B-E-waste,Neeraj Kumar Singal posted on the topic,,,https://www.linkedin.com/posts/nksingal_lithiumionbatteries-sodiumionbatteries-activity-7216739453573189632-nBq6,2024-11-23 23:43:31
#EwasteAwareness #RecycleElectronics #SustainableTech#CircularEconomy #ReduceReuseRecycle #EwasteManagement #GreenTechnology. No alternative text description ...,B-E-waste,Recycle IT (Ireland)'s Post,,,https://www.linkedin.com/posts/recycle-it-ireland-_reduce-waste-reuse-activity-7186291395429593088-F9Lq,2024-11-23 23:43:31
... e-waste management. Why does this matter? Every ... #Techazar #VGaurd #Ewasterecyclingcompanyinindia #Ewastemanagement #PartnershipForThePlanet.,B-E-waste,circularity #loop #textiles #loopamid ...,,,https://www.linkedin.com/posts/loopamid_circularity-loop-textiles-activity-7252302271344963585-iI-P,2024-11-23 23:43:31
... hazardous waste disposal. Here are some common electronics you can recycle in the entertainment industry: - Cameras - Monitors - Gaming Consoles and PCs ...,G-Other Hazardous Waste,Krunal Shah's Post,,,https://www.linkedin.com/posts/krunal-shah-75b139207_tiny-resin-and-sustainable-drift-wood-bluetooth-activity-7157348180840333312-K6pg,2024-11-23 23:43:46
... EwasteManagement #Orbitronics #SustainableTech #IRMEmployee Iron Mountain · Forget Electronics: Here ...,E-Battery Waste,Neeraj Kumar Singal's Post,,,https://www.linkedin.com/posts/nksingal_battery-lithiumionbatteries-batterymanufacturer-activity-7175015508893736960-3bH6,2024-11-23 23:43:31
... e-waste and #lithiumbattery #recycling. They got ... #recyclekaro #sustainabilityeduction #sustainabilityawareness #ewasterecycling #ewastemanagement ...,B-E-waste,Pankaj Jhunja posted on the topic,,,https://www.linkedin.com/posts/pankaj-jhunja-4504862_battery-circularity-event-flyer-activity-7239916096261177344-QYsR,2024-11-23 23:43:31
... Ewaste Management Ltd. I Co-founder & ED ... Akshay Jain #investments #recycling #investmentopportunities #ewastemanagement #environment #nselisting.,B-E-waste,Sunny Garg,forbesu30asia #forbesunder30,,https://www.linkedin.com/posts/iamsunnygarg_forbesu30asia-forbesunder30-activity-7196726936167952384-s5wB,2024-11-23 23:43:31
"Amity University Jharkhand signed MoU with OPPO Mobiles India Pvt. Ltd. on January 12, 2024 to organize ""E-Waste Management Awareness Campaign"" in the State ...",B-E-waste,Dr. Ashok K Srivastava's Post,,,https://www.linkedin.com/posts/dr-ashok-k-srivastava-19a5716b_jharkhand-environment-aicte-activity-7151891112427741184-RUNq,2024-11-23 23:43:31
What a beautiful morning for a transport conference ☀️! Today I'll be on the plenary panel sharing reflections on 2024 as part of the Better Transport…,A-Plastic Waste,Sarah McMonagle's Post,,,https://www.linkedin.com/posts/sarah-mcmonagle-496b8138_bettertransport-bettertransportconference-activity-7209807734525812737-ZYvj,2024-11-23 23:43:31
... ewaste management chain. From consumer behavior to proper disposal ... ewastemanagement #sustainability #battery · About. https://grinnerproject ...,B-E-waste,Celsa Steel UK on LinkedIn: CELSA Recycling,Shredder,,https://www.linkedin.com/posts/celsasteeluk_celsa-recycling-shredder-activity-7213798629638103040-7c6V,2024-11-23 23:43:31
"... E-Waste (Management) Rules, 2022, for entities in the solar sector at a ... #RenewableEnergy #EWasteManagement #Sustainability #SolarEnergy #Compliance.",B-E-waste,SLMG Beverages Pvt Ltd posted on the topic,,,https://www.linkedin.com/posts/slmg-beverages-pvt-ltd_sustainability-renewableenergy-slmgbeverages-activity-7213132047144341505-fmgv,2024-11-23 23:43:31
"Recycle your e-waste with confidence, knowing that your data is safe from breaches. ... #DataDestruction #EWaste #ITAD #DataSecurity #RebootTech #EWasteManagement ...",B-E-waste,Marissa Davey's Post,,,https://www.linkedin.com/posts/marissa-l-davey_valmet-dnae-distributed-control-system-dcs-activity-7183848025901977601-tut8,2024-11-23 23:43:31
... Ewaste #EwasteManagement #GenerationGreen #Sustainability #RecyclingEwaste #GreenChampion #CleanerIndia #HealthierIndia #YouthEmpowerment #Ecowarrior ...,A-Plastic Waste,John Willis on LinkedIn: #plastic #plasticpollution #wales # ...,,,https://www.linkedin.com/posts/john-willis-0926857_plastic-plasticpollution-wales-activity-7218916017735876610-5_Wn,2024-11-23 23:43:31
... #greenmovement #etechewasterecycling #ewaste #ewastemanagement. No alternative text description for this image. Like Comment. Share. Copy; LinkedIn; Facebook,B-E-waste,Payal Yadav,sustainability #greenliving,,https://www.linkedin.com/posts/payal-yadav-5b4aba288_sustainability-greenliving-activity-7175185491405803520-xShF,2024-11-23 23:43:31
#ITAD #ITAssetDisposal #DataSecurity #EwasteManagement #TechDisposal #Compliance #SustainableRecycling #VendorManagement · View profile for Frank Milia ...,G-Other Hazardous Waste,Sue V Walsh,Mutual respect is key for RFP process,,https://www.linkedin.com/posts/sue-v-walsh-aa121b311_rfpprocess-lifesciences-vendormanagement-activity-7239287641442070530-l8uc,2024-11-23 23:43:31
New Hair = New Head-shot! Thanks to Sean Phillips at Riverwood Photography. I am so happy with this new photo and feel like I should be on 'The Morning ...,A-Plastic Waste,Laura Ballerini's Post,,,https://www.linkedin.com/posts/lauraballerini_new-hair-new-head-shot-thanks-to-sean-activity-7160759599162101760-4IOp,2024-11-23 23:43:31
... e-waste ... #WasteExpoAU #ANZRP #CircularEconomy #ewasterecycling #ewaste #productstewardship #sustainability #responsiblerecycling #ewastemanagement # ...,B-E-waste,Cornerstone Smart Recycling Limited's Post,,,https://www.linkedin.com/posts/cornerstonesmartrecycling_green-foodwaste-green-activity-7166284229243338753-q9UM,2024-11-23 23:43:32
We urgently need global cooperation and sustainable e-waste management practices to safeguard people and the planet. Let's raise awareness and take action for a ...,B-E-waste,Bahamas Waste's Post,,,https://www.linkedin.com/posts/bahamas-waste_bahamaswaste-wastemangement-newprovidence-activity-7214613973717970945-Iakh,2024-11-23 23:43:32
E-Waste Reduction #education meets innovation! #IITMandi #InnovationInEducation #LabOnBookSeries #ewastemanagement #educationalinnovation …more. Play ...,B-E-waste,Devanshi Sharma on LinkedIn: Join the Zenora University ...,,,https://www.linkedin.com/posts/devanshi-sharma-19505a332_join-the-zenora-university-movement-zenora-activity-7250873478751371265-eY5L,2024-11-23 23:43:32
"... e-waste management, striving to be the solution to the e-waste ... Ewastemanagement. No alternative text description for this image. 39 1 Comment.",B-E-waste,Insert the Homer Simpson backs into the bush meme.,,,https://www.linkedin.com/posts/franzsiasat_insert-the-homer-simpson-backs-into-the-bush-activity-7217055383855464448-1FAK,2024-11-23 23:43:32
... e-waste and lithium-ion battery recycling company. This dual emphasis on e ... ewastemanagement. No alternative text description for this image. 35 4 ...,B-E-waste,ecoveda Climate's Post,,,https://www.linkedin.com/posts/ecoveda-climate_carboncredits-recyclingindustry-sustainability-activity-7245009084414906368-rkMY,2024-11-23 23:43:32
#greentechnology #greentech #wastemanagement #ewastemanagement #ewaste #ewastedisposal #ewasterecycling #ewasteawareness #electronics #ethics #technology ...,B-E-waste,"Tilde Rosmer, PhD's Post",,,https://www.linkedin.com/posts/tilde-rosmer-phd-6643425_such-a-pleasure-to-share-my-research-and-activity-7157988282310569984-UAzC,2024-11-23 23:43:32
... e-waste and #lithiumbattery #recycling. They got ... #recyclekaro #sustainabilityeduction #sustainabilityawareness #ewasterecycling #ewastemanagement ...,B-E-waste,beVisioneers: The Mercedes-Benz Fellowship's Post,,,https://www.linkedin.com/posts/bevisioneers_sustainability-mumbai-circulareconomy-activity-7229373743637147648-98K6,2024-11-23 23:43:32
#worldphotographyday #ewaste #recycleright #ewastemanagement #wastemanagement #reduce #reuse #recycle. World photography day. 6 · Like Comment. Share. Copy,B-E-waste,Kateřina Štěpánková's Post,,,https://www.linkedin.com/posts/kate%C5%99ina-%C5%A1t%C4%9Bp%C3%A1nkov%C3%A1-194561ba_forbescz-forbes%C4%8Desko-mlad%C3%A9%C4%8Desko-activity-7185533993704898560-YvDe,2024-11-23 23:43:32
#SustainableDevelopment #CircularEconomy #WEEERecovery #EwasteManagement #ResearchInnovation #WasteToResource ##MetalRecovery #AcademicResearch # ...,A-Plastic Waste,C3 Symposium... RILEM is happy to co-sponsor ...,,,https://www.linkedin.com/posts/rilem-association_c3-symposium-rilem-is-happy-to-co-sponsor-activity-7239905859282042881-RXc0,2024-11-23 23:43:32
"... e-waste recycling centre, every small step makes a difference in ... ♻️ #enhancinglifeenrichingcommunities #dontletewastegotowaste #ewastemanagement.",B-E-waste,Coca-Cola ThaiNamthip's Post,,,https://www.linkedin.com/posts/thainamthip-limited_cocacola-thainamthip-recycleme-activity-7212035540550832128---M2,2024-11-23 23:43:32
"... e-waste responsibly, contributing to a greener planet and adhering to ... https://lnkd.in/gZbxwBTi #electronicsrecycling #ewastemanagement ...",B-E-waste,Nordomatic on LinkedIn: Automate & Optimize iBOS/iBMS,,,https://www.linkedin.com/posts/nordomatic_automate-optimize-ibosibms-activity-7257038362178449409-tN4m,2024-11-23 23:43:32
